ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word
2018+AC0-En+AC0-mystery+AC0-05498,Alonzo feels angry.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,anger,angry
2018+AC0-En+AC0-mystery+AC0-11722,Alonzo feels furious.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,anger,furious
2018+AC0-En+AC0-mystery+AC0-11364,Alonzo feels irritated.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,anger,irritated
2018+AC0-En+AC0-mystery+AC0-14320,Alonzo feels enraged.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,anger,enraged
2018+AC0-En+AC0-mystery+AC0-14114,Alonzo feels annoyed.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,anger,annoyed
2018+AC0-En+AC0-mystery+AC0-09419,Alonzo feels sad.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,sadness,sad
2018+AC0-En+AC0-mystery+AC0-16791,Alonzo feels depressed.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,sadness,depressed
2018+AC0-En+AC0-mystery+AC0-10775,Alonzo feels devastated.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,sadness,devastated
2018+AC0-En+AC0-mystery+AC0-00419,Alonzo feels miserable.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,sadness,miserable
2018+AC0-En+AC0-mystery+AC0-11781,Alonzo feels disappointed.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,sadness,disappointed
2018+AC0-En+AC0-mystery+AC0-12038,Alonzo feels terrified.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,fear,terrified
2018+AC0-En+AC0-mystery+AC0-09090,Alonzo feels discouraged.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,fear,discouraged
2018+AC0-En+AC0-mystery+AC0-06025,Alonzo feels scared.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,fear,scared
2018+AC0-En+AC0-mystery+AC0-08856,Alonzo feels anxious.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,fear,anxious
2018+AC0-En+AC0-mystery+AC0-04209,Alonzo feels fearful.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,fear,fearful
2018+AC0-En+AC0-mystery+AC0-08192,Alonzo feels happy.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,joy,happy
2018+AC0-En+AC0-mystery+AC0-15408,Alonzo feels ecstatic.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,joy,ecstatic
2018+AC0-En+AC0-mystery+AC0-11830,Alonzo feels glad.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,joy,glad
2018+AC0-En+AC0-mystery+AC0-00476,Alonzo feels relieved.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,Alonzo,male,African+AC0-American,joy,relieved
