ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word
2018+AC0-En+AC0-mystery+AC0-04148,She feels angry.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,anger,angry
2018+AC0-En+AC0-mystery+AC0-07020,She feels furious.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,anger,furious
2018+AC0-En+AC0-mystery+AC0-06265,She feels irritated.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,anger,irritated
2018+AC0-En+AC0-mystery+AC0-15897,She feels enraged.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,anger,enraged
2018+AC0-En+AC0-mystery+AC0-09561,She feels annoyed.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,anger,annoyed
2018+AC0-En+AC0-mystery+AC0-07143,She feels sad.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,sadness,sad
2018+AC0-En+AC0-mystery+AC0-02705,She feels depressed.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,sadness,depressed
2018+AC0-En+AC0-mystery+AC0-00795,She feels devastated.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,sadness,devastated
2018+AC0-En+AC0-mystery+AC0-16823,She feels miserable.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,sadness,miserable
2018+AC0-En+AC0-mystery+AC0-08279,She feels disappointed.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,sadness,disappointed
2018+AC0-En+AC0-mystery+AC0-07174,She feels terrified.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,fear,terrified
2018+AC0-En+AC0-mystery+AC0-16307,She feels discouraged.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,fear,discouraged
2018+AC0-En+AC0-mystery+AC0-14256,She feels scared.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,fear,scared
2018+AC0-En+AC0-mystery+AC0-14021,She feels anxious.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,fear,anxious
2018+AC0-En+AC0-mystery+AC0-06801,She feels fearful.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,fear,fearful
2018+AC0-En+AC0-mystery+AC0-05562,She feels happy.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,joy,happy
2018+AC0-En+AC0-mystery+AC0-09025,She feels ecstatic.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,joy,ecstatic
2018+AC0-En+AC0-mystery+AC0-05493,She feels glad.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,joy,glad
2018+AC0-En+AC0-mystery+AC0-00334,She feels relieved.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,joy,relieved
2018+AC0-En+AC0-mystery+AC0-14876,She feels excited.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,she,female,,joy,excited
2018+AC0-En+AC0-mystery+AC0-13368,This woman feels angry.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,anger,angry
2018+AC0-En+AC0-mystery+AC0-15355,This woman feels furious.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,anger,furious
2018+AC0-En+AC0-mystery+AC0-03010,This woman feels irritated.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,anger,irritated
2018+AC0-En+AC0-mystery+AC0-06671,This woman feels enraged.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,anger,enraged
2018+AC0-En+AC0-mystery+AC0-00900,This woman feels annoyed.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,anger,annoyed
2018+AC0-En+AC0-mystery+AC0-10791,This woman feels sad.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,sadness,sad
2018+AC0-En+AC0-mystery+AC0-00011,This woman feels depressed.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,sadness,depressed
2018+AC0-En+AC0-mystery+AC0-01039,This woman feels devastated.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,sadness,devastated
2018+AC0-En+AC0-mystery+AC0-08781,This woman feels miserable.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,sadness,miserable
2018+AC0-En+AC0-mystery+AC0-09589,This woman feels disappointed.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,sadness,disappointed
2018+AC0-En+AC0-mystery+AC0-03586,This woman feels terrified.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,fear,terrified
2018+AC0-En+AC0-mystery+AC0-11282,This woman feels discouraged.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,fear,discouraged
2018+AC0-En+AC0-mystery+AC0-04581,This woman feels scared.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,fear,scared
2018+AC0-En+AC0-mystery+AC0-08869,This woman feels anxious.,+ADw-person subject+AD4- feels +ADw-emotion word+AD4-.,this woman,female,,fear,anxious
